LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	Yes
X_Columns	One
Time_Pref	Absolute
Operator	Microsoft
Date	2023/11/24
Time	16:46:27.6817073822021484375
***End_of_Header***	
	
Channels	1	
Samples	100000	
Date	2023/11/24	
Time	16:46:27.6817073822021484375	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value	Untitled	Comment
1081.000000	0.884639
1082.000000	0.883512
1083.000000	0.879808
1084.000000	0.880935
1085.000000	0.880291
1086.000000	0.877714
1087.000000	0.875621
1088.000000	0.873688
1089.000000	0.879969
1090.000000	0.883190
1091.000000	0.884478
1092.000000	0.882224
1093.000000	0.881740
1094.000000	0.878842
1095.000000	0.877392
1096.000000	0.879325
1097.000000	0.881257
1098.000000	0.881418
1099.000000	0.879325
1100.000000	0.876748
1101.000000	0.872239
1102.000000	0.874332
1103.000000	0.876909
1104.000000	0.879164
1105.000000	0.880935
1106.000000	0.879486
1107.000000	0.878197
1108.000000	0.879969
1109.000000	0.879647
1110.000000	0.877070
1111.000000	0.873688
1112.000000	0.878842
1113.000000	0.874815
1114.000000	0.873205
1115.000000	0.873205
1116.000000	0.869823
1117.000000	0.871111
1118.000000	0.866280
1119.000000	0.869340
1120.000000	0.873044
1121.000000	0.876587
1122.000000	0.877714
1123.000000	0.875782
1124.000000	0.872239
1125.000000	0.870628
1126.000000	0.869984
1127.000000	0.870789
1128.000000	0.870467
1129.000000	0.873044
1130.000000	0.869018
1131.000000	0.865797
1132.000000	0.861126
1133.000000	0.867729
1134.000000	0.866280
1135.000000	0.867568
1136.000000	0.868535
1137.000000	0.867729
1138.000000	0.867246
1139.000000	0.865958
1140.000000	0.866119
1141.000000	0.864669
1142.000000	0.864669
1143.000000	0.859838
1144.000000	0.858550
1145.000000	0.857583
1146.000000	0.858872
1147.000000	0.858228
1148.000000	0.852430
1149.000000	0.854201
1150.000000	0.853718
1151.000000	0.857583
1152.000000	0.860321
1153.000000	0.857905
1154.000000	0.855812
1155.000000	0.852752
1156.000000	0.851303
1157.000000	0.853718
1158.000000	0.853074
1159.000000	0.848565
1160.000000	0.848404
1161.000000	0.846149
1162.000000	0.844055
1163.000000	0.845183
1164.000000	0.845505
1165.000000	0.846793
1166.000000	0.843733
1167.000000	0.844216
1168.000000	0.844700
1169.000000	0.844539
1170.000000	0.842445
1171.000000	0.842445
1172.000000	0.842767
1173.000000	0.840190
1174.000000	0.838419
1175.000000	0.834715
1176.000000	0.832621
1177.000000	0.831816
1178.000000	0.829239
1179.000000	0.828434
1180.000000	0.826179
1181.000000	0.828756
1182.000000	0.831816
1183.000000	0.832460
1184.000000	0.829722
1185.000000	0.824891
1186.000000	0.824730
1187.000000	0.823602
1188.000000	0.821509
1189.000000	0.820382
1190.000000	0.819737
1191.000000	0.817322
1192.000000	0.814423
1193.000000	0.814262
1194.000000	0.813779
1195.000000	0.813457
1196.000000	0.812651
1197.000000	0.812651
1198.000000	0.811041
1199.000000	0.808947
1200.000000	0.809108
1201.000000	0.806854
1202.000000	0.806370
1203.000000	0.805565
1204.000000	0.801378
1205.000000	0.798801
1206.000000	0.795097
1207.000000	0.793326
1208.000000	0.792520
1209.000000	0.790266
1210.000000	0.788172
1211.000000	0.786884
1212.000000	0.787528
1213.000000	0.792198
1214.000000	0.789622
1215.000000	0.788655
1216.000000	0.783341
1217.000000	0.780603
1218.000000	0.781408
1219.000000	0.778670
1220.000000	0.776416
1221.000000	0.775288
1222.000000	0.773356
1223.000000	0.767880
1224.000000	0.769813
1225.000000	0.766270
1226.000000	0.768041
1227.000000	0.766270
1228.000000	0.767075
1229.000000	0.765626
1230.000000	0.762888
1231.000000	0.761438
1232.000000	0.759345
1233.000000	0.756929
1234.000000	0.755157
1235.000000	0.754513
1236.000000	0.750648
1237.000000	0.747910
1238.000000	0.747266
1239.000000	0.741952
1240.000000	0.740180
1241.000000	0.738087
1242.000000	0.738409
1243.000000	0.737925
1244.000000	0.741146
1245.000000	0.738087
1246.000000	0.734382
1247.000000	0.730356
1248.000000	0.729229
1249.000000	0.728907
1250.000000	0.726652
1251.000000	0.724075
1252.000000	0.719566
1253.000000	0.719888
1254.000000	0.715862
1255.000000	0.714735
1256.000000	0.713285
1257.000000	0.711192
1258.000000	0.710709
1259.000000	0.710386
1260.000000	0.707649
1261.000000	0.706682
1262.000000	0.705233
1263.000000	0.703622
