nu,[0]CO2-HITRAN:X=0.2-T=296K-P=1atm-L=4000cm
6361.536,0.1311454751202269
6361.539,0.13005453296437142
6361.542,0.1290168061724539
6361.545,0.12802736290053118
6361.548,0.12708095998731792
6361.551,0.12617204671851898
6361.554,0.12529478091039112
6361.557,0.12444305900869988
6361.56,0.12361056153788351
6361.563,0.12279081468473635
6361.566,0.12197726805883295
6361.569,0.12116338775657869
6361.572,0.12034276281040102
6361.575,0.11950922199845371
6361.578,0.11865695691637142
6361.581,0.11778064628047848
6361.584,0.11687557575587688
6361.587,0.11593774728698839
6361.59,0.11496397202964374
6361.593,0.11395194157804794
6361.596,0.11290027323012708
6361.599,0.11180852646900447
6361.602,0.1106771895355189
6361.605,0.10950763677049156
6361.608,0.10830205914507493
6361.611,0.10706337191065107
6361.614,0.10579510445430691
6361.617,0.10450127815619442
6361.62,0.10318627828007332
6361.623,0.10185472571098016
6361.626,0.10051135375279939
6361.629,0.09916089431333396
6361.632,0.09780797675007731
6361.635,0.09645704153984327
6361.638,0.09511226986930384
6361.641,0.09377752929826443
6361.644,0.09245633487361657
6361.647,0.0911518244936219
6361.65,0.0898667469410187
6361.653,0.0886034608030651
6361.656,0.08736394244888517
6361.659,0.08614980130440794
6361.662,0.08496230081575004
6361.665,0.08380238368745768
6361.668,0.08267070019080217
6361.671,0.08156763853331515
6361.674,0.08049335644499973
6361.677,0.07944781325823003
6361.68,0.07843080183484769
6361.683,0.07744197973142132
6361.686,0.0764808990055811
6361.689,0.07554703407147927
6361.692,0.07463980703153701
6361.695,0.07375860996319984
6361.698,0.0729028237356902
6361.701,0.07207183307535944
6361.704,0.071265037781045
6361.707,0.07048186019499761
6361.71,0.06972174923638334
6361.713,0.0689841814779675
6361.716,0.06826865987114518
6361.719,0.06757471078720059
6361.722,0.06690188004079764
6361.725,0.06624972850240826
6361.728,0.06561782780418866
6361.731,0.06500575651699442
6361.734,0.06441309704319943
6361.737,0.06383943334620056
6361.74,0.06328434953375935
6361.743,0.06274742923433535
6361.746,0.06222825565426732
6361.749,0.06172641217669926
6361.752,0.061241483355953696
6361.755,0.06077305616832079
6361.758,0.06032072139672691
6361.761,0.05988407504804675
6361.764,0.05946271972449194
6361.767,0.05905626589220024
6361.77,0.058664333009478924
6361.773,0.0582865504934254
6361.776,0.05792255851674882
6361.779,0.05757200863669017
6361.782,0.05723456426532573
6361.785,0.056909900995611835
6361.788,0.05659770680064862
6361.791,0.05629768212509549
6361.794,0.056009539887767745
6361.797,0.05573300541337295
6361.8,0.05546781630936808
6361.803,0.055213722301286905
6361.806,0.05497048503684206
6361.809,0.0547378778659991
6361.812,0.0545156856013209
6361.815,0.0543037042605085
6361.818,0.05410174079142182
6361.821,0.053909612779080206
6361.824,0.053727148134206766
6361.827,0.053554184763624314
6361.83,0.0533905702240166
